iter	Logloss
0	0.6105457077
1	0.5451406891
2	0.4979576813
3	0.461299482
4	0.4341385157
5	0.4175818271
6	0.4008313652
7	0.3855944086
8	0.3753633395
9	0.3673832449
10	0.360540497
11	0.3558046681
12	0.3523576837
13	0.3483164181
14	0.3448148211
15	0.3426479879
16	0.3397025178
17	0.3372406188
18	0.3355892721
19	0.3340248626
20	0.3326921554
21	0.3315080033
22	0.3304452982
23	0.3296729813
24	0.3288968593
25	0.3282309302
26	0.3276971391
27	0.3270533457
28	0.3267193253
29	0.3263044835
30	0.3258685715
31	0.3254333682
32	0.3250574515
33	0.3247633093
34	0.3245192102
35	0.3242655999
36	0.3240419874
37	0.323815204
38	0.3235640466
39	0.3233436673
40	0.3230671598
41	0.3229032304
42	0.3227160554
43	0.322455605
44	0.3222906328
45	0.322057709
46	0.3218894615
47	0.3216629478
48	0.321526689
49	0.3213889272
50	0.3212714087
51	0.3211346565
52	0.3210507365
53	0.3209898066
54	0.3208759017
55	0.3207699215
56	0.3206324629
57	0.320481223
58	0.3203823226
59	0.3203110717
60	0.3202213016
61	0.320057032
62	0.3199560178
63	0.3198304761
64	0.319726798
65	0.3196334703
66	0.3195603349
67	0.3194206697
68	0.31933485
69	0.3192600934
70	0.3191842675
71	0.3191117112
72	0.3190492932
73	0.3188996092
74	0.3188073792
75	0.3187409844
76	0.3186683419
77	0.3185986342
78	0.3185200649
79	0.3184395029
80	0.3183813267
81	0.3183099463
82	0.3182675525
83	0.3181858686
84	0.3181354874
85	0.3180848805
86	0.3180224186
87	0.3179577494
88	0.3179191539
89	0.3178516553
90	0.3177746837
91	0.3177055322
92	0.3176629422
93	0.317615014
94	0.3175550044
95	0.3174961396
96	0.3174367819
97	0.3173330642
98	0.3172773005
99	0.3171732173
100	0.3171200941
101	0.3170013134
102	0.3169421933
103	0.3169028576
104	0.3168139602
105	0.3167480256
106	0.3166975092
107	0.3166313366
108	0.3165574614
109	0.316519428
110	0.3164922288
111	0.3164556803
112	0.3163940389
113	0.3163302162
114	0.3162762359
115	0.3162325977
116	0.3161784946
117	0.3161141692
118	0.3160083391
119	0.3159520789
120	0.315897974
121	0.3158493352
122	0.3157818575
123	0.3157267159
124	0.3156433809
125	0.3156074222
126	0.3155617012
127	0.3155238229
128	0.3154757798
129	0.3154247025
130	0.3153662712
131	0.3153096495
132	0.3152733167
133	0.3152340539
134	0.3151966172
135	0.3151316168
136	0.3150581906
137	0.3150068474
138	0.3149705065
139	0.3149346671
140	0.3149026232
141	0.314838297
142	0.3147929082
143	0.3147710064
144	0.3147391436
145	0.3146883007
146	0.3146553792
147	0.3145784176
148	0.3145324148
149	0.314474528
150	0.3144392264
151	0.3143823699
152	0.314343274
153	0.314302094
154	0.314260416
155	0.3142273888
156	0.3141878151
157	0.3141356663
158	0.3140060265
159	0.3139711568
160	0.3139482087
161	0.3139039635
162	0.3138212003
163	0.3137776307
164	0.313749465
165	0.3137148149
166	0.3136674713
167	0.3135900959
168	0.3135348358
169	0.3134939126
170	0.3134405257
171	0.3134134473
172	0.313375494
173	0.313336342
174	0.3132963504
175	0.313261208
176	0.3132231563
177	0.3131909905
178	0.3131405607
179	0.3130810138
180	0.3130276443
181	0.3129922851
182	0.3129626621
183	0.3129278577
184	0.312906202
185	0.3128818745
186	0.3128432923
187	0.3128124456
188	0.3127610631
189	0.3127188519
190	0.3126983376
191	0.3126766433
192	0.3126445507
193	0.3126154754
194	0.3125666102
195	0.312535751
196	0.3124807239
197	0.3124413685
198	0.3124023797
199	0.3123740104
200	0.3123319057
201	0.3122965628
202	0.3122616709
203	0.3122250653
204	0.3121913654
205	0.3121644189
206	0.3121461374
207	0.3120990761
208	0.3120544536
209	0.3120204212
210	0.3119997828
211	0.3119702729
212	0.3119298877
213	0.3118945934
214	0.3118609837
215	0.3118249055
216	0.3118005945
217	0.3117711067
218	0.3117351367
219	0.3116933187
220	0.311646385
221	0.311614244
222	0.3115857147
223	0.3115558938
224	0.3115290659
225	0.311490331
226	0.3114626759
227	0.3114356968
228	0.3113973973
229	0.3113596339
230	0.3113385883
231	0.3113129044
232	0.311275547
233	0.3112517816
234	0.3111666292
235	0.3111386014
236	0.3111116001
237	0.3110920977
238	0.3110598444
239	0.3110169396
240	0.3109874026
241	0.3109515318
242	0.310906346
243	0.3108614098
244	0.3108282719
245	0.3108028787
246	0.3107640989
247	0.31072736
248	0.3106959608
249	0.3106627119
250	0.3106276883
251	0.3105919416
252	0.3105274959
253	0.3104946543
254	0.3104623826
255	0.3104356703
256	0.3104138061
257	0.3103840133
258	0.3103130237
259	0.3102911802
260	0.3102438842
261	0.3102204807
262	0.3101905047
263	0.3101345536
264	0.310105339
265	0.3100790309
266	0.3100358356
267	0.309988687
268	0.3099415539
269	0.309908156
270	0.3098713555
271	0.3098433209
272	0.3098073184
273	0.3097671657
274	0.3097285374
275	0.3096912706
