iter	Passed	Remaining
227	3797	6279
228	3808	6252
229	3820	6228
230	3831	6203
231	3842	6178
232	3853	6151
233	3867	6131
234	3882	6112
235	3895	6091
236	3905	6064
237	3918	6041
238	3930	6018
239	3940	5993
240	3952	5970
241	3965	5947
242	3978	5927
243	3990	5903
244	4001	5879
245	4017	5862
246	4030	5841
247	4042	5819
248	4053	5795
249	4066	5774
250	4078	5752
251	4090	5730
252	4101	5707
253	4115	5686
254	4126	5664
255	4138	5642
256	4150	5620
257	4164	5600
258	4177	5580
259	4189	5558
260	4199	5534
261	4211	5514
262	4225	5494
263	4236	5472
264	4247	5449
265	4258	5427
266	4271	5406
267	4282	5384
268	4294	5364
269	4307	5344
270	4318	5322
271	4330	5301
272	4342	5280
273	4354	5259
274	4365	5238
275	4376	5216
276	4389	5198
277	4399	5175
278	4413	5156
279	4422	5133
280	4432	5110
281	4444	5090
282	4456	5071
283	4469	5051
284	4480	5030
285	4493	5012
286	4508	4995
287	4520	4976
288	4534	4958
289	4546	4938
290	4558	4919
291	4571	4900
292	4585	4882
293	4595	4861
294	4609	4843
295	4621	4824
296	4632	4804
297	4643	4783
298	4656	4765
299	4668	4746
300	4679	4725
301	4690	4706
302	4702	4686
303	4713	4667
304	4724	4646
305	4736	4627
306	4749	4609
307	4760	4590
308	4772	4571
309	4784	4553
310	4795	4533
311	4808	4515
312	4820	4497
313	4833	4479
314	4845	4460
315	4856	4441
316	4868	4423
317	4881	4405
318	4892	4386
319	4904	4367
320	4916	4349
321	4927	4331
322	4939	4312
323	4953	4295
324	4965	4278
325	4976	4259
326	4986	4239
327	4998	4221
328	5010	4203
329	5022	4185
330	5033	4167
331	5047	4150
332	5057	4130
333	5068	4112
334	5081	4095
335	5093	4077
336	5104	4059
337	5117	4042
338	5129	4025
339	5141	4007
340	5154	3990
341	5165	3972
342	5178	3955
343	5191	3938
344	5201	3920
345	5213	3902
346	5226	3885
347	5236	3867
348	5248	3849
349	5260	3832
350	5273	3815
351	5285	3799
352	5298	3782
353	5309	3764
354	5319	3745
355	5329	3727
356	5342	3711
357	5353	3693
358	5364	3675
359	5377	3659
360	5389	3642
361	5401	3626
362	5415	3610
363	5428	3594
364	5442	3578
365	5457	3563
366	5468	3546
367	5481	3530
368	5495	3514
369	5508	3498
370	5523	3483
371	5535	3467
372	5547	3450
373	5561	3435
374	5575	3419
375	5584	3401
376	5594	3383
377	5608	3368
378	5622	3352
379	5632	3335
380	5645	3319
381	5657	3302
382	5666	3284
383	5678	3267
384	5690	3251
385	5704	3236
386	5715	3219
387	5727	3203
388	5740	3187
389	5753	3171
390	5765	3155
391	5777	3139
392	5791	3124
393	5804	3108
394	5814	3091
395	5827	3075
396	5839	3059
397	5853	3044
398	5864	3028
399	5876	3011
400	5888	2995
401	5901	2980
402	5913	2963
403	5925	2948
404	5940	2933
405	5952	2917
406	5964	2901
407	5975	2885
408	5988	2869
409	6000	2854
410	6011	2837
411	6023	2821
412	6034	2805
413	6047	2789
414	6057	2773
415	6071	2758
416	6084	2743
417	6098	2728
418	6108	2711
419	6121	2696
420	6133	2680
421	6146	2665
422	6156	2648
423	6170	2634
424	6181	2618
425	6192	2601
426	6203	2585
427	6215	2570
428	6229	2555
429	6239	2539
430	6251	2523
431	6265	2509
432	6278	2493
433	6289	2477
434	6301	2462
435	6314	2447
436	6328	2432
437	6339	2417
438	6351	2401
439	6364	2386
440	6378	2371
441	6390	2356
442	6402	2341
443	6415	2326
444	6427	2310
445	6437	2294
446	6449	2279
447	6462	2264
448	6475	2249
449	6486	2234
450	6499	2219
451	6512	2204
452	6526	2190
453	6537	2174
454	6550	2159
455	6562	2144
456	6576	2129
457	6587	2114
458	6599	2099
459	6612	2084
460	6626	2069
461	6637	2054
462	6648	2039
463	6661	2024
464	6675	2009
465	6689	1995
466	6698	1979
467	6712	1964
468	6725	1950
469	6739	1935
470	6753	1921
471	6764	1905
472	6776	1891
473	6790	1876
474	6803	1861
475	6814	1846
476	6826	1831
477	6840	1817
478	6855	1803
479	6866	1788
480	6878	1773
481	6891	1758
482	6905	1744
483	6918	1729
484	6929	1714
485	6942	1699
486	6956	1685
487	6969	1670
488	6980	1655
489	6992	1641
490	7004	1626
491	7015	1611
492	7026	1596
493	7040	1581
494	7053	1567
495	7063	1552
496	7077	1538
497	7090	1523
498	7104	1509
499	7117	1494
500	7127	1479
501	7140	1465
502	7152	1450
503	7164	1435
504	7175	1420
505	7189	1406
506	7202	1392
507	7214	1377
508	7227	1363
509	7239	1348
510	7252	1334
511	7265	1319
512	7276	1305
513	7288	1290
514	7299	1275
515	7312	1261
516	7324	1246
517	7336	1232
518	7348	1217
519	7357	1202
520	7369	1188
521	7382	1173
522	7395	1159
523	7406	1144
524	7419	1130
525	7431	1116
526	7444	1101
527	7455	1087
528	7467	1072
529	7480	1058
530	7490	1043
531	7503	1029
532	7515	1015
533	7529	1001
534	7543	986
535	7557	972
536	7569	958
537	7582	944
538	7595	930
539	7606	915
540	7618	901
541	7631	887
542	7644	872
543	7654	858
544	7666	844
545	7679	829
546	7693	815
547	7705	801
548	7716	787
549	7729	772
550	7743	758
551	7753	744
552	7764	730
553	7777	716
554	7791	701
555	7802	687
556	7814	673
557	7827	659
558	7840	645
559	7851	630
560	7863	616
561	7875	602
562	7886	588
563	7897	574
564	7910	560
565	7923	545
566	7936	531
567	7947	517
568	7957	503
569	7969	489
570	7981	475
571	7993	461
572	8006	447
573	8019	433
574	8029	418
575	8068	406
576	8085	392
577	8099	378
578	8111	364
579	8125	350
580	8138	336
581	8151	322
582	8162	308
583	8175	293
584	8187	279
585	8200	265
586	8209	251
587	8223	237
588	8236	223
589	8248	209
590	8259	195
591	8271	181
592	8285	167
593	8298	153
594	8309	139
595	8322	125
596	8335	111
597	8348	97
598	8359	83
599	8372	69
600	8384	55
601	8396	41
602	8407	27
603	8417	13
604	8430	0
